time;X_value;Y_value;Z_value
Started:;окт. 16 2020;11:35:08:193; 
0,0017;0,32267;-0,29307;0,06877
0,0063;0,35505;-0,30223;0,07183
0,0063;0,37398;-0,30651;0,07427
0,0080;0,40208;-0,31323;0,07855
0,0134;0,43079;-0,32056;0,08160
0,0137;0,45523;-0,32911;0,09199
0,0137;0,46134;-0,33461;0,09871
0,0157;0,47417;-0,33522;0,10359
0,0175;0,48455;-0,33950;0,10970
0,0195;0,49494;-0,33889;0,11764
0,0221;0,49921;-0,33644;0,12253
0,0240;0,50349;-0,33033;0,12253
0,0257;0,50593;-0,32728;0,12497
0,0273;0,50715;-0,32545;0,12497
0,0330;0,50837;-0,32728;0,12497
0,0330;0,50471;-0,33339;0,12619
0,0337;0,50593;-0,33583;0,12558
0,0355;0,49738;-0,34805;0,12803
0,0376;0,49310;-0,35294;0,12619
0,0394;0,48211;-0,36821;0,12497
0,0419;0,47478;-0,38714;0,12314
0,0452;0,46500;-0,39692;0,12253
0,0466;0,45217;-0,41158;0,12192
0,0479;0,44057;-0,42074;0,11764
0,0537;0,42957;-0,42807;0,11520
0,0537;0,40208;-0,43846;0,11031
0,0537;0,40208;-0,43846;0,11031
0,0560;0,38620;-0,44273;0,10726
0,0579;0,36788;-0,44884;0,10909
0,0600;0,36177;-0,45067;0,10909
0,0620;0,34711;-0,46228;0,10970
0,0645;0,33306;-0,47572;0,11214
0,0658;0,32573;-0,48977;0,11153
0,0680;0,31778;-0,52215;0,11581
0,0736;0,31473;-0,53864;0,11581
0,0736;0,31717;-0,58445;0,12742
0,0736;0,31351;-0,59484;0,12925
0,0758;0,32023;-0,60339;0,13475
0,0781;0,33000;-0,61072;0,13963
0,0796;0,34772;-0,60156;0,14269
0,0821;0,35138;-0,59178;0,14635
0,0844;0,38070;-0,55574;0,14269
0,0868;0,39170;-0,53497;0,14452
0,0874;0,41797;-0,48366;0,13352
0,0932;0,44668;-0,42257;0,12131
0,0934;0,47844;-0,34927;0,10970
0,0937;0,49555;-0,31323;0,10237
0,0958;0,52670;-0,23748;0,09015
0,0977;0,54442;-0,20022;0,08343
0,0993;0,57557;-0,12814;0,07305
0,1014;0,59206;-0,09637;0,06694
0,1038;0,62505;-0,04017;0,06083
0,1057;0,65071;0,00320;0,05717
0,1075;0,66170;0,02397;0,06022
0,1135;0,68430;0,05329;0,06144
0,1135;0,71363;0,07284;0,07549
0,1135;0,71363;0,07284;0,07549
0,1158;0,72462;0,07284;0,08588
0,1178;0,73134;0,06795;0,09382
0,1194;0,73684;0,05390;0,10420
0,1221;0,73684;0,03252;0,11092
0,1238;0,73928;0,01725;0,11276
0,1268;0,73501;-0,02246;0,11459
0,1277;0,72951;-0,05605;0,11337
0,1343;0,72340;-0,07316;0,11092
0,1343;0,71240;-0,11653;0,11276
