time;X_value;Y_value;Z_value
0,0049;-1,73106;0,67997;8,83727
0,0049;-1,73106;0,67997;8,83727
0,0055;-1,66163;0,72547;8,84685
0,0072;-1,58501;0,76856;8,85642
0,0092;-1,39826;0,85476;8,85403
0,0112;-1,2546;0,92898;8,77262
0,0137;-1,14925;0,97447;8,6984
0,0151;-1,08461;1,02954;8,68882
0,0197;-1,07264;1,07503;8,7391
0,0197;-1,08461;1,06306;8,76544
0,0251;-1,13249;0,99123;8,87079
0,0255;-1,13489;0,94334;8,88755
0,0255;-1,13489;0,94334;8,88755
0,0275;-1,1708;0,76617;8,93064
0,0293;-1,20432;0,69195;8,96177
0,0315;-1,32643;0,5842;9,05754
0,0333;-1,4222;0,48843;9,17247
0,0365;-1,49882;0,41421;9,24669
0,0373;-1,7167;0,27534;9,36161
0,0395;-1,8819;0,19872;9,42626
0,0448;-1,94894;0,13408;9,58668
0,0448;-1,94894;0,13408;9,58668
0,0455;-1,95133;0,15084;9,60344
0,0472;-1,925;0,21309;9,56992
0,0494;-1,93218;0,29928;9,43344
0,0524;-1,94415;0,35196;9,35683
0,0536;-1,96809;0,47885;9,18683
0,0555;-2,00401;0,60575;9,05994
0,0575;-2,02316;0,65364;9,00966
0,0591;-2,06626;0,73265;8,92586
0,0647;-2,11414;0,85236;8,86361
0,0647;-2,13569;0,88828;8,85163
0,065;-2,15006;0,91222;8,83248
0,0683;-2,16921;0,93856;8,81333
0,0698;-2,21949;0,97926;8,80135
0,0716;-2,28893;1,0056;8,80135
0,0735;-2,32724;1,01278;8,80614
0,0751;-2,41582;1,02236;8,81811
0,0773;-2,50681;1,02714;8,8229
0,08;-2,54272;0,99602;8,8253
0,0853;-2,64807;0,93856;8,83966
0,0853;-2,64807;0,93856;8,83966
0,0856;-2,66243;0,92898;8,85642
0,0884;-2,6768;0,89067;8,87558
0,0895;-2,69116;0,8763;8,88276
0,0917;-2,72947;0,81405;8,89234
0,0946;-2,73905;0,79011;8,89234
0,0955;-2,73666;0,72068;8,866
0,0984;-2,73426;0,67997;8,81811
0,099;-2,74863;0,64406;8,78938
0,1056;-2,53314;0,53871;8,97853
0,1078;-2,53314;0,53871;8,97853
0,1078;-2,53314;0,53871;8,97853
0,1078;-2,43977;0,49561;9,22035
0,1095;-2,40625;0,42858;9,49569
0,1115;-2,41103;0,38308;9,63935
0,1137;-2,48765;0,26576;9,87878
0,1156;-2,53793;0,18436;9,97215
0,122;-2,6361;-0,02634;10,09905
0,122;-2,68638;-0,21548;10,2044
0,1257;-2,74863;-0,59617;10,45819
0,1264;-2,74863;-0,59617;10,45819
0,1264;-2,7582;-0,668;10,52523
0,1274;-2,76299;-0,72307;10,58988
0,129;-2,81806;-0,8356;10,65692
