time;X_value;Y_value;Z_value
Started:;окт. 22 2020;13:07:16:122; 
0,0030;-0,45012;2,71511;9,59625
0,0030;-0,42139;2,77496;9,63456
0,0050;-0,37111;2,91144;9,69681
0,0068;-0,30647;3,05031;9,74470
0,0086;-0,27055;3,10298;9,75428
0,0103;-0,21548;3,15326;9,74709
0,0169;-0,17478;3,18439;9,70639
0,0169;-0,14605;3,16763;9,68724
0,0211;-0,10295;3,05270;9,57710
0,0211;-0,09577;3,01200;9,54119
0,0211;-0,09577;3,01200;9,54119
0,0230;-0,10295;2,91862;9,47415
0,0249;-0,11014;2,88510;9,44063
0,0267;-0,12211;2,81806;9,38316
0,0292;-0,14845;2,77018;9,34007
0,0311;-0,15802;2,76539;9,32570
0,0329;-0,15323;2,78215;9,29697
0,0345;-0,15323;2,80130;9,27781
0,0411;-0,14845;2,89228;9,25627
0,0411;-0,15563;2,91862;9,25866
0,0412;-0,15563;2,91862;9,25866
0,0425;-0,16281;2,94496;9,27542
0,0472;-0,14126;2,99524;9,28500
0,0472;-0,14366;3,00481;9,29457
0,0484;-0,12690;3,00242;9,29218
0,0505;-0,12929;3,01439;9,28021
0,0523;-0,14126;2,99524;9,27063
0,0544;-0,13408;2,98566;9,25148
0,0593;-0,15084;2,96172;9,23232
0,0594;-0,15084;2,96172;9,23232
0,0600;-0,15802;2,93778;9,22035
0,0633;-0,14366;2,92580;9,21078
0,0646;-0,12450;2,92102;9,21317
0,0660;-0,11493;2,91862;9,21796
0,0681;-0,12450;2,91623;9,22275
0,0701;-0,13887;2,89228;9,22514
0,0726;-0,13647;2,88510;9,22035
0,0743;-0,08380;2,89228;9,19880
0,0805;-0,03113;2,89468;9,19641
0,0805;-0,03113;2,89468;9,19641
0,0806;-0,01437;2,89947;9,19880
0,0824;0,02634;2,90186;9,19641
0,0841;0,04070;2,90904;9,19641
0,0861;0,06943;2,89468;9,21556
0,0890;0,07901;2,89468;9,21078
0,0906;0,09338;2,89468;9,22275
0,0928;0,10774;2,88750;9,24430
0,0941;0,12211;2,87792;9,25627
0,1001;0,16042;2,85876;9,33049
0,1001;0,17957;2,86355;9,34246
0,1001;0,17957;2,86355;9,34246
0,1022;0,18675;2,88510;9,36161
0,1043;0,21548;2,87792;9,37359
0,1065;0,22746;2,85876;9,39513
0,1110;0,23943;2,84919;9,40232
0,1110;0,24661;2,85158;9,40232
0,1132;0,26337;2,85637;9,41189
0,1141;0,27774;2,85158;9,40950
0,1199;0,29450;2,83722;9,41189
0,1204;0,29450;2,83722;9,41189
0,1207;0,29210;2,83722;9,40950
0,1223;0,29450;2,83482;9,41908
0,1240;0,28971;2,82046;9,42387
0,1260;0,28492;2,82764;9,42147
0,1305;0,23943;2,83482;9,41908
0,1306;0,19872;2,82285;9,42865
0,1322;0,19394;2,81327;9,43584
0,1343;0,18436;2,81327;9,43823
0,1397;0,11493;2,81567;9,40471
0,1397;0,11493;2,81567;9,40471
0,1402;0,10056;2,82285;9,39513
0,1426;0,08380;2,83243;9,38316
0,1447;0,05507;2,83961;9,37598
0,1474;0,02873;2,84919;9,36161
0,1490;0,01915;2,84919;9,34725
0,1504;-0,00958;2,83961;9,32570
0,1522;-0,02394;2,84919;9,31612
0,1543;-0,04789;2,85158;9,30894
0,1611;-0,08859;2,85158;9,28021
0,1611;-0,09098;2,85158;9,27542
0,1628;-0,09098;2,85876;9,27542
0,1628;-0,09577;2,86834;9,27542
0,1644;-0,09338;2,86834;9,27303
0,1660;-0,07662;2,87074;9,26345
0,1684;-0,07901;2,88031;9,26105
0,1704;-0,08619;2,88031;9,25627
0,1720;-0,05028;2,89468;9,25387
0,1740;-0,02155;2,90665;9,26345
0,1813;-0,01915;2,91144;9,26105
0,1813;-0,00958;2,90186;9,25148
0,1813;-0,00958;2,90186;9,25148
0,1823;-0,00718;2,90426;9,27542
0,1841;-0,00239;2,89947;9,32091
0,1861;-0,00239;2,89228;9,34246
0,1885;-0,00479;2,89228;9,36880
0,1905;-0,01915;2,91144;9,40232
0,1932;-0,00718;2,90904;9,40471
0,1954;-0,01676;2,90904;9,41668
0,2004;-0,04070;2,91862;9,40950
0,2004;-0,04070;2,91862;9,40950
0,2007;-0,04310;2,91862;9,39992
0,2029;-0,04789;2,92102;9,39274
0,2047;-0,06225;2,90186;9,37598
0,2064;-0,05986;2,90665;9,37837
0,2089;-0,05986;2,90665;9,37359
0,2107;-0,07662;2,91623;9,35683
0,2151;-0,07422;2,92341;9,34964
0,2151;-0,05746;2,92820;9,33049
0,2213;-0,07183;2,96651;9,27781
0,2213;-0,07183;2,96651;9,27781
0,2213;-0,06704;2,96890;9,26584
0,2223;-0,09098;2,96411;9,24908
0,2246;-0,11253;2,97848;9,23951
0,2260;-0,14366;2,97369;9,22035
0,2308;-0,15802;2,96651;9,20838
