time;X_value;Y_value;Z_value
0,0032;-0,15351;0,05726;0,02468
0,0032;-0,13518;0,05543;0,02529
0,0066;-0,10953;0,05604;0,02651
0,0076;-0,0802;0,05604;0,02834
0,009;-0,06677;0,05665;0,02529
0,0185;-0,03806;0,05299;0,02529
0,0186;-0,01057;0,04993;0,0204
0,0186;0,00226;0,04749;0,01796
0,0186;0,0267;0,04077;0,01612
0,0192;0,03769;0,03588;0,0149
0,0218;0,06213;0,02733;0,00818
0,0234;0,08045;0,01694;0,00146
0,0265;0,09206;0,01084;0,00452
0,0284;0,10672;-0,00321;0,00024
0,0288;0,12871;-0,01665;-0,00159
0,0355;0,1391;-0,02215;0,00146
0,0355;0,14887;-0,03559;-0,00037
0,0355;0,16109;-0,04964;0,00391
0,0374;0,16597;-0,05514;0,00757
0,0394;0,17514;-0,06858;0,01124
0,0412;0,18063;-0,07407;0,01124
0,0433;0,19041;-0,08202;0,01368
0,0463;0,19346;-0,0869;0,01979
0,0481;0,19407;-0,08751;0,02223
0,0496;0,19713;-0,08568;0,02712
0,0561;0,2014;-0,08079;0,03078
0,0561;0,20079;-0,07468;0,03445
0,0562;0,20018;-0,0698;0,03934
0,0574;0,19652;-0,06613;0,03995
0,0592;0,19774;-0,06186;0,04483
0,0612;0,19224;-0,05697;0,0485
0,0635;0,1898;-0,05636;0,05155
0,0651;0,18247;-0,05269;0,05705
0,0671;0,17575;-0,04781;0,06133
0,0687;0,16842;-0,04781;0,06499
0,0749;0,16414;-0,04292;0,07171
0,0749;0,15009;-0,04109;0,07538
0,0755;0,14826;-0,03864;0,07477
0,0776;0,13482;-0,03559;0,07965
0,0797;0,12871;-0,03315;0,08149
0,0812;0,11466;-0,03315;0,08271
0,083;0,1;-0,03254;0,08271
0,0859;0,0945;-0,03009;0,08271
0,0877;0,07923;-0,03131;0,07965
0,0892;0,0719;-0,03254;0,07477
0,0949;0,05357;-0,02948;0,07171
0,0949;0,03586;-0,02765;0,06438
0,0949;0,02853;-0,02765;0,05766
0,0974;0,01081;-0,02704;0,05094
0,0991;-0,00201;-0,02459;0,04361
0,1029;-0,00568;-0,02337;0,03689
0,1041;-0,02156;-0,02093;0,02712
0,1061;-0,0295;-0,02032;0,02223
0,1073;-0,03806;-0,01726;0,01307
0,1099;-0,04783;-0,01543;0,0033
0,1149;-0,05088;-0,01482;-0,0022
0,1149;-0,0576;-0,01726;-0,01198
0,1149;-0,06127;-0,01971;-0,01686
0,1202;-0,05699;-0,02032;-0,01931
0,1202;-0,06127;-0,02337;-0,02419
0,1209;-0,05821;-0,02643;-0,02542
0,1236;-0,05577;-0,02948;-0,02908
0,1255;-0,05088;-0,02887;-0,03885
0,1275;-0,04783;-0,02643;-0,03763
0,1301;-0,03439;-0,02582;-0,04008
0,1349;-0,0295;-0,02154;-0,03763
0,1349;-0,02034;-0,01604;-0,03641
0,137;-0,01118;-0,0136;-0,03946
0,1375;-0,00385;-0,00993;-0,03397
0,1393;0,00104;-0,00871;-0,03336
0,1412;0,0157;-0,01116;-0,03152
0,1439;0,01753;-0,01238;-0,02786
0,1453;0,02975;-0,01787;-0,02419
0,1529;0,03952;-0,02826;-0,02297
0,153;0,0438;-0,03315;-0,0187
0,1554;0,05296;-0,04597;-0,01442
0,1554;0,06091;-0,05758;-0,01014
0,1554;0,06518;-0,06491;-0,00953
0,1575;0,07251;-0,07652;-0,00342
0,1592;0,07618;-0,08263;-0,00465
0,1619;0,08351;-0,09057;-0,00098
0,1633;0,09206;-0,09729;0,00024
0,1651;0,09695;-0,10095;0,00085
0,167;0,09878;-0,10767;0,00024
0,1693;0,10061;-0,11134;-0,00465
0,1755;0,10367;-0,11439;-0,00342
0,1755;0,10305;-0,11683;-0,01137
0,1756;0,10305;-0,11683;-0,01137
0,1772;0,1;-0,115;-0,01564
0,1788;0,09939;-0,11195;-0,01931
0,182;0,09695;-0,10889;-0,02175
0,1835;0,09206;-0,09851;-0,02786
0,1856;0,08473;-0,08996;-0,03336
0,1871;0,08412;-0,08446;-0,03458
0,189;0,07496;-0,07163;-0,03702
0,1951;0,06579;-0,05697;-0,03824
0,1951;0,06029;-0,0417;-0,04252
0,1958;0,05541;-0,03437;-0,04374
0,1975;0,04747;-0,02826;-0,0468
0,1993;0,0383;-0,01116;-0,04802
0,2008;0,02547;0,00045;-0,04985
0,2034;0,02059;0,00656;-0,04802
0,2051;0,0102;0,01817;-0,04741
0,2072;-0,00201;0,02489;-0,04924
0,2094;-0,00629;0,02794;-0,04741
0,2161;-0,01729;0,03466;-0,04924
