time;X_value;Y_value;Z_value
0,0039;-3,49085;1,50839;9,34725
0,0048;-3,3855;1,49882;9,54358
0,0062;-3,28255;1,48924;9,72554
0,0081;-3,23467;1,48924;9,81174
0,0105;-3,15565;1,48924;9,98413
0,0182;-3,11256;1,44375;10,38876
0,0182;-3,11256;1,44375;10,38876
0,0183;-3,11256;1,41502;10,48692
0,0183;-3,11495;1,3815;10,58509
0,021;-3,11495;1,33601;10,77663
0,0222;-3,09101;1,30727;10,96099
0,0246;-3,06228;1,31206;11,04479
0,0266;-3,00721;1,30727;11,19084
0,0283;-2,97608;1,30009;11,2507
0,0306;-2,97608;1,28812;11,35126
0,0368;-3,04552;1,30249;11,43506
0,0369;-3,04552;1,30249;11,43506
0,0369;-3,06946;1,28812;11,43745
0,0384;-3,15565;1,29291;11,42069
0,0401;-3,20593;1,30009;11,40393
0,0421;-3,29692;1,29051;11,35365
0,044;-3,36635;1,28573;11,27464
0,0461;-3,39029;1,30488;11,22675
0,0488;-3,45494;1,32643;11,09507
0,0507;-3,4717;1,34798;11,03761
0,0561;-3,47409;1,42699;10,72156
0,0562;-3,46452;1,44614;10,61143
0,0562;-3,46452;1,44614;10,61143
0,058;-3,45254;1,47966;10,4151
0,0602;-3,43818;1,52276;10,1637
0,0623;-3,43578;1,53952;10,05117
0,0641;-3,41424;1,57543;9,84526
0,0663;-3,40226;1,57064;9,7423
0,0681;-3,39987;1,55149;9,54597
0,0702;-3,39987;1,52276;9,39513
0,0759;-3,42621;1,4653;9,19402
0,0759;-3,42621;1,4653;9,19402
0,076;-3,43339;1,43417;9,15571
0,0786;-3,43578;1,41502;9,115
0,0806;-3,43818;1,35516;9,0743
0,0832;-3,44776;1,33122;9,05754
0,0853;-3,45254;1,25699;9,01923
0,0874;-3,46212;1,18517;9,01684
0,088;-3,4693;1,15404;9,01684
0,0903;-3,47409;1,0894;9,04078
0,0955;-3,48367;0,97926;9,03599
0,0955;-3,48367;0,97926;9,03599
0,0959;-3,4717;0,95292;9,04078
0,0981;-3,46452;0,93137;9,04557
0,1002;-3,46212;0,89067;9,03599
0,1039;-3,4286;0,87391;9,03599
0,1047;-3,40705;0,86912;9,04557
0,1064;-3,36635;0,87152;9,0767
0,1095;-3,3017;0,89306;9,08388
0,1111;-3,28016;0,89546;9,09346
0,1173;-3,21551;0,98644;9,115
0,1173;-3,19396;1,01038;9,10543
0,1173;-3,19396;1,01038;9,10543
0,119;-3,20354;1,07742;9,06951
0,1209;-3,19875;1,10615;9,05275
0,1223;-3,19157;1,18756;9,00247
0,1244;-3,14368;1,28333;8,97853
0,1275;-3,13411;1,3384;8,97614
0,1295;-3,11256;1,42459;8,99768
0,1305;-3,05509;1,55867;9,04557
0,1372;-2,95693;1,79092;9,19402
0,1372;-2,95693;1,79092;9,19402
0,1372;-2,95693;1,79092;9,19402
0,139;-2,86595;1,92021;9,32091
0,1413;-2,73666;2,07823;9,48612
0,1428;-2,66722;2,174;9,57471
0,1447;-2,56666;2,34878;9,72076
0,1468;-2,50441;2,47568;9,7854
0,1492;-2,49962;2,53793;9,79019
0,1524;-2,52835;2,62652;9,76625
0,1573;-2,64328;2,58103;9,71357
0,1573;-2,64328;2,58103;9,71357
0,1573;-2,66483;2,55709;9,704
0,1592;-2,68877;2,53554;9,70639
0,1608;-2,71511;2,46131;9,73273
0,1623;-2,70074;2,40146;9,72794
0,1648;-2,70074;2,37273;9,71836
0,1688;-2,69835;2,27696;9,68245
0,1689;-2,69356;2,21949;9,65611
0,1714;-2,6768;2,12372;9,59865
0,1766;-2,6768;1,9226;9,48851
0,1766;-2,6768;1,9226;9,48851
0,1766;-2,6744;1,89627;9,46457
0,1786;-2,69835;1,84359;9,41429
0,1805;-2,71511;1,83162;9,38795
0,1827;-2,73426;1,79571;9,31133
0,1844;-2,76299;1,79331;9,1988
0,1869;-2,78694;1,78613;9,14852
0,1884;-2,82764;1,78373;9,08627
0,1913;-2,85876;1,78373;9,06233
0,1961;-2,98327;1,78373;9,08867
0,1975;-2,98327;1,78373;9,08867
0,1975;-2,98327;1,78373;9,08867
0,1989;-3,01918;1,81007;9,14613
0,2009;-3,04791;1,81007;9,17965
0,2023;-3,04791;1,80049;9,18923
0,2052;-3,0527;1,82444;9,19402
0,2067;-3,04552;1,83401;9,19402
0,2091;-3,01679;1,82923;9,1988
0,2112;-2,98327;1,84359;9,17726
0,2161;-2,85637;1,87232;9,1174
0,2161;-2,85637;1,87232;9,1174
0,2163;-2,80848;1,89627;9,09346
0,2193;-2,74863;1,925;9,06712
0,2201;-2,64807;1,98725;9,0336
0,2229;-2,58103;2,03034;9,02402
0,2242;-2,44455;2,11654;8,9905
0,2261;-2,28893;2,23386;8,9474
0,2284;-2,20273;2,28893;8,91628
0,2303;-2,04232;2,3847;8,86121
0,2379;-1,7981;2,61694;8,7391
0,2379;-1,7981;2,61694;8,7391
0,2379;-1,74543;2,67919;8,71756
